Heads of Capital Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (R.E.),2007-08 ,2008-09 (B.E.),2008-09 (R.E.),2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (R.E.),2014-15,2015-16 (B.E.),2015-16 (R.E.),2015-16,2016-17(B.E.),2016-17 (R.E.),2017-18 (B.E.)
A. NON-DEVELOPMENTAL EXPENDITURE,5378.24,11409.5,9322.99,10087.22,17039.74,14929.36,14471.38,18370.4,18397.44,21064.84,21004.17,37756.53,37593.18,36298.01,40386.85,38088.47,36809.47,42577.99,39586.17,38507.34,50995.7,45166.04,44106.16,58359.13,50485.68,49359.48,67278.33,71224.09,63845.64,76647.82,74697.73,82488.21,96911.29,83922.32,82054.45,144818.65,91324.41,88298,155558.15,100402,96478,121725,109061,101297,122677,158922,154973,112756,107553,116322
1. Defence services,4552.35,8015.05,8508.42,9103.51,10035.94,11854.85,12384.05,16206.91,14952.85,16906.32,16862.61,33482.85,33482.85,31993.8,34375.14,33075.14,32337.87,37458,34458,33828.24,41922,37705,37461.74,48007,41000,40918.48,54824,47824,51112.37,60000,60833.26,62056,69198.81,66143.81,67902.38,79578.63,69578.63,70499,86740.71,78872,79125,94588,81965,81887,94588,81400,79958,86340,79370,86529
2. Border roads,65.07,108.18,118.72,184.72,172,229.42,214.28,372.18,392.05,277.65,436.38,298.95,290.4,794.92,335.16,349.63,456.37,562.23,501.9,675.33,738.18,686.96,887.25,851.5,845.7,881.21,1319.51,1182.06,1184.73,2857.68,2540.28,2421.36,2463.97,2173.21,2206.22,2492.21,2172.59,2275,2663.92,2249,2192,2342,2035,0,0,0,0,0,0,0
3. Fiscal services,725.1,3275.71,622.22,261.56,6179.68,1976.87,1116.53,610.55,1310,1624.66,1576.58,808.69,668.69,870.23,1177.84,1125.88,1031.62,712.52,605.03,404.4,1579.22,968.46,649.3,1563.36,2368.73,2408.89,1641.81,14211.87,4707.93,1315.1,1363.11,10359.6,10502.65,3343.57,3248.84,44061.68,5849.72,5906,44064.91,1565,1471,2448,6100,5834,1638,54594,53772,1692,4303,3420
"i) Currency, coinage & mint",28.84,110.9,110.74,149.02,82.79,85.32,281.6,356.92,100.87,73.59,45.07,203.09,209.02,118.38,146.49,-4,1.55,0.06,96.37,0,253.2,0,0,0,0,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
ii) India security press,4.22,1.28,2.08,3.06,14.26,15.4,15.4,19.54,32.75,31.7,17.25,29,30.5,13.91,35.2,15.55,9.6,0.02,0,0,0,0,0,0,0,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iii) Subscription to IMF,549.98,2595,0,0,5958.31,1691.12,628.89,0,1011.45,1265.49,1261.89,0,0,414.87,357.14,595.02,595.01,0.01,39.57,39.57,39.57,0,0,0,1077.49,1444,0,12836.26,3653.93,0.01,-,9051.12,8767.75,1609.78,1612.69,42123.32,4149.2,4323,42149.17,424,367,676,4846,4619,35,52920,52182,0,1672,0
iv) Other fiscal services,142.06,568.53,509.4,109.48,124.32,185.03,190.64,234.09,164.93,253.88,252.37,576.6,429.17,323.07,639.01,519.31,425.46,712.43,469.09,364.83,1286.45,968.46,649.3,1563.36,1291.24,964.89,1641.81,1375.61,1054,1315.09,1363.11,1308.48,1734.9,1733.79,1636.15,1938.36,1700.52,1583,1915.74,1141,1104,1772,1254,1215,1603,1674,1590,1692,2626,3417
4. Others,35.72,10.56,73.63,537.43,652.12,868.22,756.52,1180.76,1742.54,2256.21,2128.6,3166.04,3151.24,2639.06,4498.71,3537.82,2983.61,3845.24,4021.24,3599.37,6756.3,5805.62,5107.87,7937.27,6271.25,5150.9,9493.01,8006.16,6840.61,12475.04,9961.08,7651.25,14745.86,12261.73,8697.01,18686.13,13723.47,9618,22088.61,17715,13691,22347,18960,13576,26451,22928,21242,24725,23880,26373
B. DEVELOPMENTAL EXPENDITURE,16502.05,23766.95,22498.58,30333.1,30942.16,36408.99,41140.43,43079.62,45628.64,78109,65362.41,83655.13,87393.94,76859.68,99482.72,105106.4,97565.65,121426.64,132921.81,120980.61,187008.86,196983.16,177839.46,175875.55,185368.96,163319.63,196115,198667,190086.45,217699.27,237671.17,213661.75,263303.61,253413.94,233034.95,324660.31,296400,259757,372943.31,342461,297989,423219,403925,342834,470635,493157,456358,557461,562588,641091
